Gene,Mutations,Country,Synonimous mutations,Non synonimous mutations,Year
NP,0,Spain,0,0,2002
VP35,0,Spain,0,0,2002
VP40,0,Spain,0,0,2002
GP,0,Spain,0,0,2002
VP30,0,Spain,0,0,2002
VP24,0,Spain,0,0,2002
L,0,Spain,0,0,2002
NP,6.666666667,Hungary,4.444444444,2.222222222,2019
VP35,4.153686397,Hungary,2.076843198,2.076843198,2019
VP40,11.11111111,Hungary,10.1010101,1.01010101,2019
GP,14.3985137,Hungary,6.038086391,8.360427311,2019
VP30,3.039513678,Hungary,2.026342452,1.013171226,2019
VP24,17.26427623,Hungary,11.95219124,3.984063745,2019
L,4.096495221,Hungary,3.337884995,0.758610226,2019
NP,6.222222222,Italy,4,2.222222222,2021
VP35,3.115264798,Italy,1.038421599,1.038421599,2021
VP40,11.11111111,Italy,10.1010101,1.01010101,2021
GP,16.25638644,Italy,6.502554575,9.753831863,2021
VP30,3.039513678,Italy,2.026342452,1.013171226,2021
VP24,19.92031873,Italy,14.60823373,3.984063745,2021
L,4.551661356,Italy,3.48960704,1.062054316,2021
